fecha_venta,id_producto,nombre_producto,categoria,precio_unitario,cantidad,total_venta,metodo_pago,region
2025-01-10 07:07:52.304245,158004,Flan de Caramelo,Postres,5300.0,1,5300.0,Tarjeta Débito,Bogotá D.C.
2025-01-10 08:03:11.385105,246065,Macchiato,Café Caliente,4500.0,2,9000.0,Efectivo,Meta
2025-01-10 08:10:25.753214,461066,Huevos Pericos,Desayunos,9000.0,2,18000.0,Tarjeta Crédito,Bogotá D.C.
2025-01-10 08:13:44.535789,677423,Granizado de Café,Café Frío,6900.0,3,20700.0,Tarjeta Débito,Cundinamarca
2025-01-10 08:24:19.725728,942940,Café Campesino,Café Caliente,2100.0,2,4200.0,Tarjeta Débito,Meta
2025-01-10 08:25:21.452217,690065,Torta de Café,Postres,6100.0,2,12200.0,Daviplata,Bogotá D.C.
2025-01-10 08:39:23.309532,175281,Croissant de Mantequilla,Panadería,4100.0,1,4100.0,Efectivo,Meta
2025-01-10 08:46:11.520593,792564,Pan de Bono Fresco,Panadería,3400.0,2,6800.0,Nequi,Bogotá D.C.
2025-01-10 08:49:19.044699,909474,Tres Leches Tradicional,Postres,7900.0,2,15800.0,Efectivo,Valle del Cauca
2025-01-10 08:52:37.999993,833080,Té Chai,Bebidas,5900.0,3,17700.0,Tarjeta Débito,Boyacá
2025-01-10 09:08:50.999947,963560,Tamal Tolimense,Desayunos,10700.0,4,42800.0,Tarjeta Crédito,Bogotá D.C.
2025-01-10 09:11:59.197317,315733,Latte Helado,Café Frío,8200.0,1,8200.0,Daviplata,Bogotá D.C.
2025-01-10 09:20:23.753578,752755,Espresso Doble,Café Caliente,2800.0,2,5600.0,Tarjeta Débito,Bogotá D.C.
2025-01-10 09:57:33.064136,871680,Milo Frío,Bebidas,5900.0,1,5900.0,Tarjeta Crédito,Bogotá D.C.
2025-01-10 12:34:52.535823,89480,Croissant de Mantequilla,Panadería,4100.0,1,4100.0,Tarjeta Débito,Bogotá D.C.
2025-01-10 12:44:54.513515,843114,Capuchino Especial,Café Caliente,6900.0,4,27600.0,Nequi,Bogotá D.C.
2025-01-10 13:10:44.745273,805353,Pan de Bono Fresco,Panadería,2600.0,3,7800.0,Tarjeta Crédito,Cundinamarca
2025-01-10 13:18:53.790111,633929,Té Chai,Bebidas,5800.0,1,5800.0,Efectivo,Bogotá D.C.
2025-01-10 13:31:50.558259,67065,Granizado de Café,Café Frío,7200.0,2,14400.0,Daviplata,Boyacá
2025-01-10 13:38:00.227201,531981,Cold Brew Clásico,Café Frío,5600.0,2,11200.0,Daviplata,Cundinamarca
2025-01-10 13:51:49.766256,896089,Flan de Caramelo,Postres,5200.0,2,10400.0,Efectivo,Bogotá D.C.
2025-01-10 13:53:04.495104,488353,Brownie con Helado,Postres,5800.0,1,5800.0,Efectivo,Bogotá D.C.
2025-01-10 13:55:36.120402,111858,Capuchino Especial,Café Caliente,5900.0,3,17700.0,Efectivo,Valle del Cauca
2025-01-10 16:21:06.389781,459737,Desayuno Ejecutivo,Desayunos,17500.0,2,35000.0,Daviplata,Meta
2025-01-10 17:20:31.879032,309823,Aguapanela con Queso,Bebidas,2700.0,1,2700.0,Nequi,Bogotá D.C.
2025-01-10 17:25:21.345918,99680,Tamal Tolimense,Desayunos,11900.0,1,11900.0,Tarjeta Crédito,Valle del Cauca
2025-01-10 17:41:17.506752,781078,Cheesecake de Café,Postres,8400.0,4,33600.0,Efectivo,Bogotá D.C.
2025-01-10 17:43:38.404483,132377,Espresso Doble,Café Caliente,3300.0,1,3300.0,Tarjeta Crédito,Bogotá D.C.
2025-01-11 07:15:08.103072,13163,Pan de Bono Fresco,Panadería,3500.0,1,3500.0,Nequi,Cundinamarca
2025-01-11 07:49:41.628204,695695,Pan de Bono Fresco,Panadería,3100.0,1,3100.0,Efectivo,Bogotá D.C.
2025-01-11 08:00:28.981280,382748,Jugo Natural de Temporada,Bebidas,5900.0,2,11800.0,Efectivo,Bogotá D.C.
2025-01-11 08:05:47.297074,57130,Cold Brew Clásico,Café Frío,6500.0,1,6500.0,Tarjeta Débito,Santander
2025-01-11 08:06:56.000920,337093,Changua Bogotana,Desayunos,8700.0,2,17400.0,Tarjeta Débito,Cundinamarca
2025-01-11 08:14:27.933070,489255,Tiramisú,Postres,8800.0,1,8800.0,Tarjeta Débito,Bogotá D.C.
2025-01-11 08:20:12.583145,378343,Almojábana Tradicional,Panadería,3300.0,2,6600.0,Tarjeta Débito,Bogotá D.C.
2025-01-11 08:27:34.652172,266097,Café Helado,Café Frío,6900.0,2,13800.0,Nequi,Antioquia
2025-01-11 08:39:28.429039,511510,Pastel de Pollo,Panadería,4500.0,1,4500.0,Efectivo,Bogotá D.C.
2025-01-11 08:56:14.884008,832430,Pan de Yuca,Panadería,3100.0,1,3100.0,Efectivo,Boyacá
2025-01-11 08:56:18.657447,546292,Pan de Yuca,Panadería,3000.0,2,6000.0,Nequi,Antioquia
2025-01-11 08:59:30.453872,492890,Croissant de Mantequilla,Panadería,4400.0,2,8800.0,Nequi,Bogotá D.C.
2025-01-11 09:16:14.734208,557582,Té Chai,Bebidas,5600.0,1,5600.0,Daviplata,Cundinamarca
2025-01-11 13:02:57.088768,481814,Empanada de Queso,Panadería,3300.0,3,9900.0,Efectivo,Valle del Cauca
2025-01-11 13:12:28.126293,994310,Milo Frío,Bebidas,5500.0,1,5500.0,Tarjeta Crédito,Bogotá D.C.
2025-01-11 13:23:23.373018,91912,Café Campesino,Café Caliente,2000.0,3,6000.0,Efectivo,Bogotá D.C.
2025-01-11 13:26:57.340005,245148,Aromática de Frutas,Bebidas,4700.0,2,9400.0,Tarjeta Débito,Bogotá D.C.
2025-01-11 13:31:55.146444,605221,Aromática de Frutas,Bebidas,4000.0,2,8000.0,Daviplata,Bogotá D.C.
2025-01-11 14:42:01.988213,111956,Pan de Chocolate,Panadería,3300.0,1,3300.0,Nequi,Antioquia
